Workcenter,Machine,Job,Type,Priority
3,3,job7223,2,1
4,1,job7471,2,3
4,1,job6064,3,10
5,0,job6474,1,3
1,2,job7023,3,10
3,2,job7481,1,1
1,1,job7142,1,3
1,3,job7153,3,1
2,0,job7491,3,3
3,0,job7303,2,1
1,2,job7342,2,10
1,0,job7452,2,1
3,2,job7501,1,3
4,0,job6374,3,3
5,1,job7462,3,10
2,0,job7313,1,1
1,1,job7382,1,1
2,0,job6953,1,3
5,0,job7192,3,1
1,2,job7463,3,10
1,0,job7472,2,3
1,0,job6922,2,3
3,4,job7373,2,1
4,2,job7511,2,1
4,2,job7521,2,1
2,0,job7143,1,3
3,4,job6375,3,3
1,1,job7482,1,1
3,3,job7333,2,1
4,1,job7531,2,10
5,0,job6894,1,1
1,2,job7282,2,10
1,3,job6972,2,3
3,1,job7233,2,3
2,0,job7383,1,1
1,3,job7193,3,1
3,0,job7453,2,1
2,0,job7541,3,1
3,3,job7551,1,1
4,2,job7561,2,1
4,1,job7571,2,10
1,2,job7532,2,10
4,2,job7581,2,3
1,1,job7512,2,1
4,2,job7591,2,1
5,0,job5872,3,10
1,1,job7172,1,3
2,0,job7483,1,1
2,0,job7601,3,1
4,2,job7611,2,1
4,1,job7621,2,3
3,4,job6923,2,3
1,0,job7572,2,10
1,0,job7522,2,1
5,0,job6914,1,1
4,0,job6644,3,1
4,1,job7631,2,3
4,0,job6854,3,10
3,0,job7513,2,1
4,1,job7641,2,3
1,1,job7622,2,3
1,3,job7562,2,1
3,4,job7323,2,3
1,1,job7502,1,3
5,1,job7542,3,1
1,2,job5873,3,10
2,1,job7651,3,10
2,0,job7661,3,3
3,4,job6645,3,1
3,1,job6973,2,3
1,0,job7642,2,3
1,1,job7592,2,1
1,3,job7543,3,1
2,0,job7173,1,3
3,1,job7363,2,3
3,0,job7523,2,1
5,0,job7054,1,1
5,1,job7652,3,10
2,0,job7671,3,1
3,2,job7681,1,1
1,0,job7632,2,3
3,1,job6855,3,10
1,0,job7612,2,1
3,2,job7691,1,10
1,2,job7653,3,10
3,3,job7623,2,3
2,0,job7711,3,1
3,4,job7393,2,3
4,2,job7701,2,1
5,1,job7602,3,1
1,0,job7422,2,3
2,0,job7721,3,3
3,1,job6065,3,10
4,0,job6684,3,1
1,3,job7603,3,1
2,1,job7731,3,10
2,0,job7503,1,3
3,3,job7741,1,1
4,1,job5874,3,10
5,1,job7274,1,1
1,1,job7682,1,1
2,0,job7751,3,3
1,1,job7702,2,1
4,2,job7761,2,3
3,0,job7613,2,1
5,1,job7732,3,10
3,4,job6685,3,1
3,2,job7771,1,3
1,3,job7582,2,3
3,0,job7563,2,1
3,1,job5875,3,10
4,2,job7781,2,1
5,1,job7672,3,1
3,3,job7593,2,1
4,2,job7791,2,1
3,2,job7801,1,3
3,1,job7423,2,3
4,1,job7811,2,3
1,0,job7762,2,3
5,1,job7314,1,1
2,0,job7683,1,1
3,2,job7821,1,3
1,1,job7812,2,3
4,2,job7831,2,3
1,3,job7673,3,1
3,4,job7473,2,3
1,0,job7782,2,1
3,3,job7851,1,1
4,2,job7841,2,1
1,1,job7772,1,3
4,0,job6754,3,1
5,0,job7712,3,1
4,0,job7024,3,10
3,0,job7703,2,1
1,1,job7792,2,1
3,4,job7633,2,3
4,2,job7861,2,1
2,0,job7871,3,3
1,3,job7713,3,1
5,0,job7384,1,1
3,1,job6755,3,1
1,0,job7842,2,1
3,3,job7583,2,3
1,1,job7802,1,3
2,0,job7773,1,3
4,2,job7881,2,1
3,0,job7783,2,1
3,2,job7891,1,1
1,2,job7733,3,10
5,1,job7492,3,3
1,0,job7862,2,1
3,2,job7901,1,10
3,1,job7025,3,10
4,2,job7911,2,3
1,3,job7493,3,3
2,0,job7921,3,1
3,3,job7813,2,3
3,0,job7843,2,1
5,0,job6954,1,3
1,0,job7882,2,1
4,1,job7931,2,10
1,1,job7822,1,3
4,0,job6804,3,1
2,0,job7803,1,3
4,2,job7941,2,1
4,0,job7464,3,10
1,2,job7932,2,10
1,0,job7832,2,3
3,3,job7863,2,1
5,1,job7922,3,1
4,1,job7951,2,10
2,0,job7823,1,3
3,2,job7961,1,10
1,1,job7892,1,1
