Workcenter,Machine_Number,Bid,Job_Name,Time,PT,PS,RDue,RP,CR,Pool,Setup,
3,1,-1.41613673,job5024,429.3,0.018039566,-0.479022633,-0.396794901,1.396313953,1.156262032,-0.071834411,-3.039100336,1
1,0,-5.268433085,job5191,429.7,-1.630299574,-0.176535185,3.058252482,-1.800541073,-2.467172735,-0.499624725,-1.752512275,3.999999999
1,1,-6.16073044,job5191,429.7,-0.656507717,-0.13810368,0.314146198,-0.929453767,1.705075737,-0.249907461,-6.205979749,3
2,0,5.721069157,job5065,429.8,0.272250044,2.607809078,5.676248839,-0.385117424,0.654262861,-0.342490082,-2.761894158,6
2,1,8.205758273,job5065,429.8,1.766579024,0.136727401,3.279186192,0.781266281,2.721686145,-0.47968677,0,5
4,0,2.793840301,job5083,429.8,-0.875018173,0.422437079,-0.400592181,2.496170903,0.352850329,-0.157542355,0.9555347,2
4,1,1.799598837,job5083,429.8,0.363772885,0.700011893,1.986594437,0.78268496,-1.836592425,-0.196872912,0,3
4,0,2.718361523,job5073,430,-0.875018173,0.422437079,-0.396568532,2.496170903,0.352119079,-0.236313533,0.9555347,3
4,1,1.790700483,job5073,430,0.363772885,0.700011893,1.973889912,0.78268496,-1.832786255,-0.196872912,0,3
2,0,6.012499992,job5035,430.3,0.476437577,2.607809078,5.836439105,-0.513489899,0.652606691,-0.285408402,-2.761894158,5
2,1,5.276654443,job5035,430.3,3.091513292,0.136727401,3.349069572,1.041688374,2.714796598,-0.575624124,-4.481516671,6
1,0,-5.528502988,job5201,430.7,-1.630299574,-0.176535185,3.047833782,-1.800541073,-2.467011575,-0.749437088,-1.752512275,5.999999998
1,1,-6.075035322,job5201,430.7,-0.656507717,-0.13810368,0.316650207,-0.929453767,1.704964359,-0.166604974,-6.205979749,2
3,0,-1.003939258,job5054,430.8,-2.906512576,0.091251825,1.132275067,3.314629352,0.278897694,-0.197166788,-2.717313833,3
3,1,-1.186674971,job5054,430.8,0.027059348,-0.479022633,-0.415720023,1.699860465,1.16391703,-0.143668822,-3.039100336,2
2,0,7.107424532,job5162,430.9,0.136125022,1.043123631,6.327297827,-0.770234848,0.656521302,-0.285408402,0,5
2,0,4.311215636,job5152,430.9,0.272250044,1.043123631,6.066276315,-0.676873048,0.653741254,-0.285408402,-2.761894158,5
2,1,3.949841393,job5162,430.9,0.883289512,0.05469096,3.679450701,1.562532561,2.731081099,-0.47968677,-4.481516671,5
